Method                                            ,Problem                                           ,ProbSize                                          ,Seed                                              ,Time Init                                         ,Time Ops                                          ,Num Ops                                           ,Init Score                                        ,Final Score                                       ,Procs                                             ,MPI_Nodes                                         ,CUDA_BlockSize                                    ,CUDA_GridSize                                     ,Num Iterations                                    ,PopSize                                           ,ResultsFilename                                   
CUDA_SA                                           ,Rosen                                             ,2                                                 ,42                                                ,0.301302                                          ,14.774984                                         ,8192000                                           ,3552.683838                                       ,0.000001                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-07__seeds_42.txt
CUDA_SA                                           ,Rosen                                             ,2                                                 ,43                                                ,0.286524                                          ,14.405217                                         ,8192000                                           ,3552.683838                                       ,0.000001                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-07__seeds_43.txt
CUDA_SA                                           ,Rosen                                             ,2                                                 ,44                                                ,0.279076                                          ,14.402073                                         ,8192000                                           ,3552.683838                                       ,0.000001                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-08__seeds_44.txt
CUDA_SA                                           ,Rosen                                             ,4                                                 ,42                                                ,0.288059                                          ,21.721444                                         ,16384000                                          ,4799.605957                                       ,0.045257                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-08__seeds_42.txt
CUDA_SA                                           ,Rosen                                             ,4                                                 ,43                                                ,0.278587                                          ,21.773133                                         ,16384000                                          ,4799.605957                                       ,0.045257                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-08__seeds_43.txt
CUDA_SA                                           ,Rosen                                             ,4                                                 ,44                                                ,0.275638                                          ,21.723631                                         ,16384000                                          ,4799.605957                                       ,0.045257                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-08__seeds_44.txt
CUDA_SA                                           ,Rosen                                             ,8                                                 ,42                                                ,0.275920                                          ,36.496077                                         ,32768000                                          ,72648.320312                                      ,0.484832                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-09__seeds_42.txt
CUDA_SA                                           ,Rosen                                             ,8                                                 ,43                                                ,0.275545                                          ,36.508698                                         ,32768000                                          ,72648.320312                                      ,0.484832                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-09__seeds_43.txt
CUDA_SA                                           ,Rosen                                             ,8                                                 ,44                                                ,0.276149                                          ,36.506544                                         ,32768000                                          ,72648.320312                                      ,0.484832                                          ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-09__seeds_44.txt
CUDA_SA                                           ,Rosen                                             ,16                                                ,42                                                ,0.280563                                          ,66.105661                                         ,65536000                                          ,186957.234375                                     ,11.877890                                         ,1024                                              ,-1                                                ,16                                                ,64                                                ,500                                               ,-1                                                ,results/proper_exps/v31_cuda_good/cuda/sa/cuda_sa_experiment1_standard_Rosen/2021-06-23-13-19-07//2021-06-23-13-19-10__seeds_42.txt
