Method                                            ,Problem                                           ,ProbSize                                          ,Seed                                              ,Time Init                                         ,Time Ops                                          ,Num Ops                                           ,Init Score                                        ,Final Score                                       ,Procs                                             ,MPI_Nodes                                         ,CUDA_BlockSize                                    ,CUDA_GridSize                                     ,Num Iterations                                    ,PopSize                                           ,ResultsFilename                                   
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.646268                                          ,0.484194                                          ,6400                                              ,1038.406372                                       ,379.036346                                        ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,43                                                ,0.296211                                          ,0.309248                                          ,6400                                              ,1177.236450                                       ,316.781158                                        ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,44                                                ,0.294262                                          ,0.304909                                          ,6400                                              ,770.056213                                        ,254.515625                                        ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,42                                                ,0.302445                                          ,0.472199                                          ,64000                                             ,13664.716797                                      ,9174.508789                                       ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,43                                                ,0.288617                                          ,0.406890                                          ,64000                                             ,11565.991211                                      ,7839.163086                                       ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,44                                                ,0.283864                                          ,0.404117                                          ,64000                                             ,13506.716797                                      ,10093.491211                                      ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,42                                                ,0.405456                                          ,1.627827                                          ,640000                                            ,132418.234375                                     ,128803.640625                                     ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,43                                                ,0.394146                                          ,1.575640                                          ,640000                                            ,130405.539062                                     ,126275.070312                                     ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,44                                                ,0.393039                                          ,1.598638                                          ,640000                                            ,131827.390625                                     ,127377.679688                                     ,64                                                ,-1                                                ,4                                                 ,16                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.266092                                          ,0.251482                                          ,12800                                             ,856.532593                                        ,379.036346                                        ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,43                                                ,0.266609                                          ,0.251820                                          ,12800                                             ,1166.882324                                       ,316.781158                                        ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,44                                                ,0.266623                                          ,0.254070                                          ,12800                                             ,770.056213                                        ,254.515625                                        ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,42                                                ,0.269192                                          ,0.369491                                          ,128000                                            ,13565.094727                                      ,8964.258789                                       ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,43                                                ,0.268265                                          ,0.368872                                          ,128000                                            ,11490.626953                                      ,7825.377441                                       ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,44                                                ,0.268940                                          ,0.370093                                          ,128000                                            ,13506.716797                                      ,8823.665039                                       ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,42                                                ,0.545580                                          ,1.548536                                          ,1280000                                           ,132594.187500                                     ,127458.140625                                     ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,43                                                ,0.397817                                          ,1.547389                                          ,1280000                                           ,130322.914062                                     ,125704.054688                                     ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,44                                                ,0.571340                                          ,1.547531                                          ,1280000                                           ,131689.078125                                     ,126645.820312                                     ,128                                               ,-1                                                ,4                                                 ,32                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.275373                                          ,0.252824                                          ,25600                                             ,856.532593                                        ,379.036346                                        ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,43                                                ,0.273936                                          ,0.253133                                          ,25600                                             ,1166.882324                                       ,316.781158                                        ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,44                                                ,0.275827                                          ,0.252249                                          ,25600                                             ,770.056213                                        ,254.515625                                        ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,42                                                ,0.276117                                          ,0.370104                                          ,256000                                            ,13565.094727                                      ,8645.352539                                       ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,43                                                ,0.275521                                          ,0.369788                                          ,256000                                            ,11490.626953                                      ,7515.378418                                       ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,44                                                ,0.262248                                          ,0.348949                                          ,256000                                            ,13394.342773                                      ,9180.307617                                       ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,42                                                ,0.364639                                          ,1.356700                                          ,2560000                                           ,132358.421875                                     ,127071.625000                                     ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,43                                                ,0.365480                                          ,1.345203                                          ,2560000                                           ,130322.914062                                     ,124502.359375                                     ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,44                                                ,0.364847                                          ,1.349202                                          ,2560000                                           ,131689.078125                                     ,125838.609375                                     ,256                                               ,-1                                                ,4                                                 ,64                                                ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.253360                                          ,0.236566                                          ,51200                                             ,856.532593                                        ,379.036346                                        ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,43                                                ,0.257195                                          ,0.237582                                          ,51200                                             ,1166.882324                                       ,316.781158                                        ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,44                                                ,0.253319                                          ,0.236017                                          ,51200                                             ,770.056213                                        ,254.515625                                        ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,42                                                ,0.256780                                          ,0.335471                                          ,512000                                            ,13526.687500                                      ,8398.273438                                       ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,43                                                ,0.256638                                          ,0.335594                                          ,512000                                            ,11331.482422                                      ,7132.915039                                       ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,44                                                ,0.256714                                          ,0.336147                                          ,512000                                            ,13394.342773                                      ,8895.972656                                       ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,42                                                ,0.367731                                          ,1.344375                                          ,5120000                                           ,132288.796875                                     ,126335.070312                                     ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,43                                                ,0.368723                                          ,1.334837                                          ,5120000                                           ,130225.109375                                     ,124697.609375                                     ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,44                                                ,0.367459                                          ,1.344108                                          ,5120000                                           ,131689.078125                                     ,125707.734375                                     ,512                                               ,-1                                                ,4                                                 ,128                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.260136                                          ,0.237730                                          ,102400                                            ,856.532593                                        ,379.036346                                        ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,43                                                ,0.260496                                          ,0.238310                                          ,102400                                            ,1166.882324                                       ,316.781158                                        ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,44                                                ,0.258974                                          ,0.237959                                          ,102400                                            ,770.056213                                        ,254.515625                                        ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,42                                                ,0.266316                                          ,0.333855                                          ,1024000                                           ,13526.687500                                      ,8145.444336                                       ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,43                                                ,0.265020                                          ,0.330794                                          ,1024000                                           ,11331.482422                                      ,6848.335449                                       ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,100                                               ,44                                                ,0.263471                                          ,0.330016                                          ,1024000                                           ,13347.439453                                      ,8455.511719                                       ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,42                                                ,0.456427                                          ,1.959074                                          ,10240000                                          ,132281.078125                                     ,125732.195312                                     ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,43                                                ,0.458142                                          ,1.942233                                          ,10240000                                          ,130091.140625                                     ,123478.195312                                     ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,1000                                              ,44                                                ,0.457902                                          ,1.958838                                          ,10240000                                          ,131689.078125                                     ,125614.890625                                     ,1024                                              ,-1                                                ,4                                                 ,256                                               ,10                                                ,-1                                                ,                                                  
CUDA_SA                                           ,TSP                                               ,10                                                ,42                                                ,0.286023                                          ,0.242882                                          ,204800                                            ,856.532593                                        ,379.036346                                        ,2048                                              ,-1                                                ,4                                                 ,512                                               ,10                                                ,-1                                                ,                                                  
